SMILES,InChI,Count
C1COCOC1,VDFVNEFVBPFDSB-UHFFFAOYSA-N,1043
C1=C2CCCC[C@@H]2[C@H]2CC[C@@H]3CCC[C@H]3[C@@H]2C1,CBKAHYBYIWZZPP-SIRPWMCASA-N,1037
c1ncc2ncncc2n1,JOZPEVMCAKXSEY-UHFFFAOYSA-N,1031
O=C1CSc2ccccc2N1,GTFMIJNXNMDHAB-UHFFFAOYSA-N,1031
O=C1NCNc2ccccc21,XWWYZFUBBJHKSP-UHFFFAOYSA-N,1020
O=C1C=CCCN1,OXRRHYRRQWIHIV-UHFFFAOYSA-N,1012
c1ccc2[nH+]c[nH]c2c1,HYZJCKYKOHLVJF-UHFFFAOYSA-O,1000
S=c1[nH]cn[nH]1,AFBBKYQYNPNMAT-UHFFFAOYSA-N,997
O=c1[nH]cno1,PCJFEVUKVKQSSL-UHFFFAOYSA-N,994
N=C1NCCN1,DISXFZWKRTZTRI-UHFFFAOYSA-N,994
O=C1NCNC12CCNCC2,JRKPNHLSQGAUDY-UHFFFAOYSA-N,991
c1nnc2n1CCNC2,UMEIYBJBGZKZOS-UHFFFAOYSA-N,983
O=C1NCCCOCCCCCOc2ccccc21,LZNANULATIEJBE-UHFFFAOYSA-N,978
c1ncc2c3c(sc2n1)CCCC3,DIIKLBOLDNKFBV-UHFFFAOYSA-N,975
c1n[nH]c2c1CNC2,CVRWHBCQJCUBFE-UHFFFAOYSA-N,970
C1=CCOCC1,MUGSKSNNEORSJG-UHFFFAOYSA-N,968
c1cnc2ncncc2n1,CPNGPNLZQNNVQM-UHFFFAOYSA-N,964
C=C1CNCC(=C)C1=O,SWAQBHOPPFDIQH-UHFFFAOYSA-N,964
C1CC2(CCN1)OCCO2,KPKNTUUIEVXMOH-UHFFFAOYSA-N,953
c1cnc2cccnc2c1,VMLKTERJLVWEJJ-UHFFFAOYSA-N,948
c1ccc2c(c1)ccc1ccccc12,YNPNZTXNASCQKK-UHFFFAOYSA-N,945
c1cnc2cc[nH]c2c1,XWIYUCRMWCHYJR-UHFFFAOYSA-N,931
c1csc[nH+]1,FZWLAAWBMGSTSO-UHFFFAOYSA-O,929
O=C1NCc2cn[nH]c21,LYIPETYYHFBBIC-UHFFFAOYSA-N,924
O=C1NS(=O)(=O)c2ccccc21,CVHZOJJKTDOEJC-UHFFFAOYSA-N,922
C1C[C@H]2CC[C@@H]1C2,UMRZSTCPUPJPOJ-KNVOCYPGSA-N,911
c1ncn2nccc2n1,JUXWUYWPUDKPSD-UHFFFAOYSA-N,897
c1ccc2sncc2c1,CSNIZNHTOVFARY-UHFFFAOYSA-N,897
c1ccc2c(c1)CC[C@H]1CCCC[C@H]21,KFGROPZLGDSAPK-OCCSQVGLSA-N,895
O=C1C[C@H]2CC=CN12,YZBQHRLRFGPBSL-RXMQYKEDSA-N,892
c1nc2c(s1)CCCC2,RMFVVPBBEDMZQI-UHFFFAOYSA-N,891
C1C[C@@H]2C[C@@H]2C1,JAPMJSVZDUYFKL-OLQVQODUSA-N,888
O=C1CNC(=O)CN1,BXRNXXXXHLBUKK-UHFFFAOYSA-N,888
O=c1ccnc2scnn12,NBWUDDLJZAKVFL-UHFFFAOYSA-N,887
O=C1CSC=N1,GJGROPRLXDXIAN-UHFFFAOYSA-N,883
O=C1CCCC2=C1CC=CN2,AJIPFCOONQPDHF-UHFFFAOYSA-N,880
c1cn2cncc2cn1,MIFJMFOVENWQDP-UHFFFAOYSA-N,875
O=C1CCCc2ccccc2N1,HRVRAYIYXRVAPR-UHFFFAOYSA-N,873
c1nc2c([nH]1)CCNC2,URMVFILWXLQJIP-UHFFFAOYSA-N,872
N=c1[nH]c2ccccc2[nH]1,JWYUFVNJZUSCSM-UHFFFAOYSA-N,858
c1cnc2c(c1)CCCN2,ZCZVGQCBSJLDDS-UHFFFAOYSA-N,852
C1=CCOC1,ARGCQEVBJHPOGB-UHFFFAOYSA-N,846
O=C1NCc2ccccc2N1,CTOUNZIAEBIWAW-UHFFFAOYSA-N,842
c1ccc2c(c1)CCC21CCNCC1,ZBYFQSPEUIVDTF-UHFFFAOYSA-N,839
c1cc2cn[nH]c2cn1,KNYHISBJRQVMAZ-UHFFFAOYSA-N,833
C1CC[NH2+]CC1,NQRYJNQNLNOLGT-UHFFFAOYSA-O,832
O=c1[nH]c2ccccc2s1,YEDUAINPPJYDJZ-UHFFFAOYSA-N,829
B1OCc2ccccc21,VSJPAJCAIDAUKK-UHFFFAOYSA-N,826
O=C1N[C@H]2CSC[C@H]2N1,YCAYTKNFKBHFCE-ZXZARUISSA-N,824
c1cn2c(n1)OCCC2,GCQFLMSHYSWNIZ-UHFFFAOYSA-N,823
O=c1cccc2c(c1)CCCc1ccccc1-2,XSMDDAFPLXKNOA-UHFFFAOYSA-N,820
O=c1[nH]cnn2cccc12,VYEHSYWBLDTUHX-UHFFFAOYSA-N,818
O=C1NCCNC1=O,JTHRRMFZHSDGNJ-UHFFFAOYSA-N,815
